100;0;78,11;0
104;5;479,9;2399,5
105;32;355;11360
107;61;21,95;1338,95
114;51;32,65;1665,15
115;133;14,19;1887,27
118;70;9,51;665,7
119;0;88,23;0
120;0;16,09;0
121;6;459;2754
122;0;58;0
123;26;25,49;662,74
125;0;33,23;0
127;97;28,13;2728,61
128;0;32,35;0
129;2;505,51;1011,02
130;0;533,08;0
131;0;153,6;0
132;52;23,67;1230,84
134;0;38,25;0
135;47;21,9;1029,3
136;0;352,73;0
141;0;6,33;0
142;0;18,17;0
143;0;0;0
144;0;231,88;0
145;1;667,36;667,36
146;0;491,59;0
147;59;28,18;1662,62
148;70;34,29;2400,3
151;73;25,9;1890,7
152;45;29,04;1306,8
154;36;26,58;956,88
159;5;339,9;1699,5
160;77;33,9;2610,3
161;3;599,9;1799,7
162;11;390;4290
165;0;224,43;0
170;85;25,99;2209,15
171;7;471,87;3303,09
176;105;49,26;5172,3
178;48;30,35;1456,8
181;12;499,9;5998,8
183;34;100,79;3426,86
184;1;47,47;47,47
186;86;25,36;2180,96
187;42;21,27;893,34
189;6;519,22;3115,32
190;29;44,67;1295,43
191;90;46,96;4226,4
192;52;28,6;1487,2
193;25;98,96;2474
194;66;24,01;1584,66
195;24;106,14;2547,36
196;34;350,98;11933,32
197;3;676,46;2029,38
198;2;407,94;815,88
199;36;38,53;1387,08
200;88;12,3;1082,4
201;19;334,4;6353,6
203;1;328,32;328,32
204;0;9,5;0
205;0;6,34;0
207;58;51,53;2988,74
208;30;82,29;2468,7
209;35;88,17;3085,95
215;63;36,21;2281,23
217;0;23,94;0
218;72;75,82;5459,04
219;121;23,5;2843,5
220;96;23;2208
222;39;37,35;1456,65
223;23;33;759
234;54;25,58;1381,32
235;1408;35,87;50504,96
238;54;24,28;1311,12
239;37;20,19;747,03
240;23;380;8740
241;10;535,45;5354,5
242;69;35,01;2415,69
243;35;31,06;1087,1
244;63;30,41;1915,83
245;15;96,13;1441,95
246;28;26,2;733,6
250;0;8,67;0
251;0;10,42;0
252;0;9,73;0
253;118;17,91;2113,38
255;100;15,81;1581
261;66;249,4;16460,4
262;43;129,9;5585,7
263;56;24,99;1399,44
264;55;238,4;13112
265;608;10,47;6365,76
266;44;460,4;20257,6
277;17;19,32;328,44
279;0;19,84;0
282;0;529,25;0
292;0;540;0
296;4;773;3092
297;0;441;0
300;4;380;1520
302;42;49,62;2084,04
303;51;80;4080
305;42;25;1050
306;24;67,37;1616,88
307;4;249,43;997,72
308;0;287,07;0
309;0;323,66;0
310;0;349,49;0
311;0;122,9;0
312;0;144,83;0
313;0;593,21;0
314;1;234,25;234,25
316;0;7,56;0
319;17;9,77;166,09
321;472;3,65;1722,8
325;0;0;0
327;34;16,9;574,6
328;40;12,54;501,6
329;3;52,54;157,62
330;5;22,16;110,8
331;0;11,12;0
332;0;165,6;0
333;0;118,5;0
334;0;130;0
335;0;134,13;0
336;17;6,71;114,07
337;1;62;62
338;0;0;0
340;0;6,85;0
341;6;439,34;2636,04
342;1;193,42;193,42
343;12;145,11;1741,32
346;6;1015;6090
348;0;228;0
350;0;300;0
351;3;800;2400
352;0;982;0
353;0;23;0
354;2;46,43;92,86
355;0;16,68;0
356;0;0;0
357;0;0;0
359;0;0;0
362;164;22,5;3690
364;7;164,58;1152,06
365;0;287,86;0
366;1;123,09;123,09
369;1;27,33;27,33
370;0;93,14;0
371;1;6,79;6,79
372;0;32,57;0
374;4;55,09;220,36
376;4;55,47;221,88
377;0;49,2;0
384;25;22,82;570,5
385;11;30,27;332,97
386;19;25,83;490,77
387;16;23,24;371,84
393;36;22;792
395;1;221,47;221,47
396;1;45,44;45,44
397;0;45,06;0
398;0;60,72;0
399;0;21,67;0
400;0;146,86;0
401;0;90,62;0
402;0;258;0
403;1;54,95;54,95
404;2;25,49;50,98
405;3;42,86;128,58
406;1;11,47;11,47
407;8;8,83;70,64
408;2;48,93;97,86
409;0;53,64;0
410;0;10,18;0
411;0;9,82;0
412;0;141,49;0
413;0;20,1;0
414;0;48,68;0
415;0;11,22;0
416;0;43,8;0
417;0;44,45;0
418;0;32,31;0
419;0;13,48;0
420;0;11,93;0
421;1;19,34;19,34
422;0;14,47;0
423;0;42,55;0
424;0;56,33;0
425;1;33,37;33,37
426;0;101,27;0
427;3;43,06;129,18
428;0;47,03;0
429;0;45,45;0
430;1;66,95;66,95
431;0;97,34;0
432;4;23,9;95,6
433;0;10,3;0
434;1;21,21;21,21
435;4;43,02;172,08
436;1;16,34;16,34
438;0;45,31;0
439;1;31,23;31,23
440;0;19,6;0
